             x               y  bin
    -8.8000147      -11.199988  138
    -8.8000973      -10.399984  137
    -8.7999553      -9.5999926  137
    -8.8000671      -8.7999092  137
    -8.8000725      -7.9999081  137
    -8.7999642      -7.1999127  132
    -8.8000278      -6.4000065  132
    -8.7999815      -5.6000803  132
     -8.800022       -4.799942  132
    -8.8000598      -3.9999407  133
    -8.7999719      -3.2000815  133
    -8.8000233      -2.3999587  133
    -8.7999595      -1.6000989  135
    -8.7999705     -0.80000393  135
    -8.7999289   4.7171521e-05  135
    -8.7999668      0.79997544  162
    -8.8000461       1.6000695  162
    -8.8000425       2.3999458  162
     -8.799931       3.2000071  169
    -8.7999302       4.0000164  169
    -8.8000609       4.8000862  173
    -8.7999628       5.6000178  182
    -8.7999021       6.4000523  182
    -8.8000728       7.1999695  194
    -8.8000735       7.9999603  194
    -8.8000319       8.8000429  241
    -8.7999877       9.6000582  241
    -8.8000502       10.399922  241
    -8.8000925       11.199911  284
    -8.8000792            12.0  284
    -8.7999548       12.800046  310
    -8.7999749       13.600082  320
    -8.8000626       14.400058  320
    -8.8000918       15.200072  332
     -8.800059       16.000009  332
    -8.7999614       16.799959  332
    -8.8000343       17.599988  332
    -8.7999544       18.399998  351
     -8.799929       19.200042  351
    -8.8000146       19.999905  351
    -7.9999664      -19.200029  150
    -8.0000024        -18.3999  150
    -8.0000535      -17.599942  150
    -7.9999209      -16.800024  150
    -8.0000717      -16.000077  150
    -8.0000767      -15.199948  150
    -8.0000999      -14.399947  138
    -7.9999963      -13.599977  138
     -7.999991      -12.799909  138
    -8.0000421      -12.000042  138
    -8.0000971      -11.200087  138
    -7.9999347      -10.399947  122
    -7.9999393      -9.5999077  122
    -7.9999308      -8.8000258  122
    -7.9999639      -8.0000416  122
    -8.0000373      -7.1999999  120
    -7.9999987      -6.4000683  132
    -8.0000355      -5.5999938  132
    -7.9999002      -4.8000828  121
    -7.9999504      -3.9999378  121
    -7.9999137      -3.1999184  133
     -7.999968      -2.3999919  133
    -7.9999584      -1.6000411  135
     -7.999972     -0.79997991  135
     -7.999928   9.4233015e-05  135
    -7.9999051      0.80005529  162
     -7.999944       1.5999953  162
    -8.0000698       2.3999996  165
     -7.999928       3.2000355  169
    -7.9999629       4.0000693  169
    -7.9999833       4.8000496  182
     -8.000069       5.5999247  182
    -8.0000415       6.3999318  182
    -7.9999703       7.2000593  202
    -7.9999198       8.0000799  202
    -8.0000519       8.7999201  202
    -8.0000425       9.6000632  262
    -8.0000611       10.400048  262
    -7.9999208       11.199974  284
    -8.0000898       11.999923  284
    -8.0000872       12.799949  310
    -8.0000008       13.599961  310
    -8.0000295       14.399964  310
    -7.9999856       15.199986  332
    -7.9999084       16.000054  332
    -7.9999024        16.80001  332
    -8.0000508       17.599934  351
    -7.9999524       18.399906  351
