#              x               y      signal       noise
      -12.799925      -9.6000337      115.03       11.33
      -12.800065      -8.7999285      124.62       10.63
      -12.800098      -8.0000090      119.85       11.79
      -12.800039      -7.1999094      111.84        9.12
      -12.800043      -6.4000604      122.05       11.26
      -12.800099      -5.5999570      111.31        9.78
      -12.800064      -4.8000584      126.38       11.56
      -12.800024      -3.9999683      137.66       11.48
      -12.799939      -3.1999889      133.90       11.60
      -12.800031      -2.3999831      142.55       13.06
      -12.800032      -1.5999951      158.94       13.17
      -12.800078     -0.79993973      155.72       13.40
      -12.799968 -9.9264988e-005      165.90       11.66
      -12.800040      0.80003152      167.37       12.43
      -12.800054       1.5999549      185.18       13.27
      -12.799973       2.3999360      183.09       13.70
      -12.799984       3.2000911      193.65       14.25
      -12.800027       3.9999988      196.29       13.18
      -12.800044       4.7999135      186.07       13.95
      -12.799996       5.5999293      177.27       12.76
      -12.800059       6.3999074      188.99       14.21
      -12.799909       7.1999238      183.11       13.27
      -12.800053       8.0000847      175.11       13.66
      -12.800072       8.8000213      179.61       12.90
      -12.800024       9.5999513      205.17       13.95
      -12.799903       10.399972      240.52       15.11
      -12.799902       11.200097      288.87       17.32
      -12.800011       11.999919      280.87       15.76
      -12.799951       12.799926      261.81       15.43
      -12.799991       13.599941      217.31       14.16
      -12.799979       14.400019      170.58       12.56
      -12.799924       15.199927      147.07       12.44
      -12.800087       15.999944      139.13       11.42
      -12.799974       16.799912      130.93       11.38
      -12.800063       17.599977      109.19        9.92
      -12.799961       18.400053       93.41        9.74
      -12.799963       19.199906       55.74        7.07
      -12.800096       20.000001       50.31        7.36
      -12.000092      -20.799993       32.02        5.97
      -11.999973      -19.999998       35.08        5.84
      -12.000072      -19.200085       40.16        7.08
      -11.999965      -18.399905       49.68        6.89
      -11.999940      -17.599927       52.07        7.33
      -12.000062      -16.799911       50.39        6.48
      -11.999994      -15.999952       60.14        7.46
      -11.999996      -15.200027       66.00        7.65
      -11.999976      -14.400027       77.95        8.64
      -12.000025      -13.599994       80.67        8.96
      -12.000052      -12.799969      101.88       10.14
      -11.999976      -12.000087      110.40       10.52
      -12.000053      -11.199903      111.41       11.84
      -11.999907      -10.400035      121.48       11.34
      -12.000071      -9.5999056      129.29       11.60
      -11.999921      -8.8000654      110.55       10.66
      -12.000005      -8.0000214      126.46       10.60
      -11.999944      -7.1999843      136.20       11.44
      -11.999923      -6.4000770      131.94       12.33
      -12.000075      -5.5999767      141.87       11.87
      -12.000029      -4.7999479      139.42       11.09
      -12.000028      -3.9999514      148.26       12.41
      -11.999911      -3.1999194      157.86       12.21
      -12.000027      -2.3999162      182.74       13.99
      -11.999924      -1.5999010      188.15       13.80
      -12.000002     -0.80008818      190.78       13.42
      -12.000021 -3.4306206e-005      199.21       14.72
      -12.000095      0.79995386      214.05       14.91
      -11.999926       1.5999445      196.48       14.21
      -11.999920       2.3999946      211.49       15.79
      -11.999948       3.1999359      211.03       14.22
      -11.999914       3.9999559      220.52       15.34
      -11.999913       4.8000319      218.07       15.22
      -12.000091       5.6000596      213.43       14.23
      -11.999915       6.3999796      234.08       15.93
      -12.000011       7.2000071      234.87       15.90
      -12.000031       8.0000517      219.23       14.94
      -11.999916       8.8000731      209.39       14.23
      -12.000020       9.6000717      224.53       15.41
      -11.999951       10.400076      250.20       16.12
      -12.000007       11.199913      308.01       17.84
      -11.999968       12.000030      310.89       18.64
      -12.000086       12.799926      270.98       16.58
      -11.999937       13.599972      215.39       14.51
      -11.999981       14.399993      185.02       14.01
